tunecache	0.7.2	0.7.2	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=7000	# Last updated Fri Jan 29 22:21:00 2016

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
24x48x48x2	N4quda12ContractCudaI7double2S1_EE	type=gamma5	96	1	1	1152	1	1	24576	# 13.48 Gflop/s, 64.70 GB/s, tuned Fri Jan 29 19:23:43 2016
24x48x48x2	N4quda12ContractCudaI7double2S1_EE	type=gamma5-minus	96	1	1	1152	1	1	24576	# 7.86 Gflop/s, 37.72 GB/s, tuned Fri Jan 29 19:23:45 2016
24x48x48x2	N4quda12ContractCudaI7double2S1_EE	type=gamma5-plus	96	1	1	1152	1	1	24576	# 7.87 Gflop/s, 37.77 GB/s, tuned Fri Jan 29 19:23:45 2016
24x48x48x2	N4quda16WilsonDslashCudaI7double2S1_EE	type=exterior_t,comm=0001,reconstruct=8,Xpay	96	1	1	1152	1	1	0	# 44.70 Gflop/s, 119.21 GB/s, tuned Fri Jan 29 19:23:04 2016
24x48x48x2	N4quda16WilsonDslashCudaI7double2S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,Xpay	128	1	1	864	1	1	0	# 139.88 Gflop/s, 180.74 GB/s, tuned Fri Jan 29 19:23:04 2016
24x48x48x2	N4quda20AsymCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,comm=0001,reconstruct=8,Xpay	128	1	1	864	1	1	0	# 58.21 Gflop/s, 155.24 GB/s, tuned Fri Jan 29 19:23:43 2016
24x48x48x2	N4quda20AsymCloverDslashCudaI7double2S1_S1_EE	type=interior,comm=0001,ghost=0001,reconstruct=8,Xpay	128	1	1	864	1	1	0	# 88.29 Gflop/s, 110.10 GB/s, tuned Fri Jan 29 19:23:43 2016
24x48x48x2	N4quda21TwistCloverGamma5CudaI7double2S1_EE	vol=110592,stride=110592,precision=8,TwistFlavour=-1,inverse	384	1	1	288	1	1	7022	# 2.65 Gflop/s, 63.65 GB/s, tuned Fri Jan 29 19:23:04 2016
24x48x48x2	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	vol=110592,stride=110592,precision=8,TwistFlavour=-1	320	1	1	27	1	1	7680	# 39.73 Gflop/s, 158.93 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,Dslash,comm=0001,reconstruct=8	320	1	1	346	1	1	6145	# 30.35 Gflop/s, 34.24 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,Dslash,comm=0001,reconstruct=8,dagger	640	1	1	173	1	1	16385	# 30.29 Gflop/s, 34.17 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0001,reconstruct=8,Xpay	608	1	1	182	1	1	8193	# 51.42 Gflop/s, 68.56 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0001,reconstruct=8,Xpay,dagger	608	1	1	182	1	1	6145	# 51.46 Gflop/s, 68.62 GB/s, tuned Fri Jan 29 19:23:15 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,Dslash,comm=0001,ghost=0001,reconstruct=8	160	1	1	692	1	1	0	# 464.99 Gflop/s, 307.83 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,Dslash,comm=0001,ghost=0001,reconstruct=8,dagger	160	1	1	692	1	1	0	# 459.80 Gflop/s, 304.39 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,DslashCloverTwist,comm=0001,ghost=0001,reconstruct=8,Xpay	128	1	1	864	1	1	0	# 474.06 Gflop/s, 287.31 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,DslashCloverTwist,comm=0001,ghost=0001,reconstruct=8,Xpay,dagger	64	1	1	1728	1	1	0	# 470.15 Gflop/s, 284.94 GB/s, tuned Fri Jan 29 19:23:14 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,Dslash,comm=0001,reconstruct=8	32	1	1	3456	1	1	0	# 14.79 Gflop/s, 33.37 GB/s, tuned Fri Jan 29 19:23:09 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,Dslash,comm=0001,reconstruct=8,dagger	64	1	1	1728	1	1	0	# 14.80 Gflop/s, 33.39 GB/s, tuned Fri Jan 29 19:23:04 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0001,reconstruct=8,Xpay	128	1	1	864	1	1	7022	# 24.08 Gflop/s, 64.20 GB/s, tuned Fri Jan 29 19:23:09 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0001,reconstruct=8,Xpay,dagger	128	1	1	864	1	1	6145	# 24.17 Gflop/s, 64.47 GB/s, tuned Fri Jan 29 19:23:05 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,Dslash,comm=0001,ghost=0001,reconstruct=8	64	1	1	1728	1	1	0	# 167.78 Gflop/s, 222.15 GB/s, tuned Fri Jan 29 19:23:09 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,Dslash,comm=0001,ghost=0001,reconstruct=8,dagger	96	1	1	1152	1	1	0	# 201.63 Gflop/s, 266.96 GB/s, tuned Fri Jan 29 19:23:04 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,DslashCloverTwist,comm=0001,ghost=0001,reconstruct=8,Xpay	64	1	1	1728	1	1	0	# 166.87 Gflop/s, 202.26 GB/s, tuned Fri Jan 29 19:23:09 2016
24x48x48x2	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,DslashCloverTwist,comm=0001,ghost=0001,reconstruct=8,Xpay,dagger	32	1	1	3456	1	1	0	# 152.41 Gflop/s, 184.74 GB/s, tuned Fri Jan 29 19:23:04 2016
24x48x48x2	N4quda25xpyHeavyQuarkResidualNormI7double37double2S2_EE	vol=110592,stride=110592,precision=8,TwistFlavour=-1	1024	1	1	12	1	1	24576	# 34.59 Gflop/s, 166.02 GB/s, tuned Fri Jan 29 19:23:20 2016
